Product,TotalQuantitySold,TotalRevenue,CurrentStock,ReorderLevel,LowStockAlert
DAIRY MAID BUTTER DISH,1193,1758.25,214,50,NO
DAIRY MAID CERAMIC BUTTER DISH,105,437.25,371,50,NO
DAIRY MAID CERAMIC TOASTRACK,56,165.20000000000002,214,50,NO
DAIRY MAID LARGE MILK JUG,533,2522.85,174,50,NO
DAIRY MAID STRIPE MUG,531,1508.8500000000001,112,50,NO
DAIRY MAID SUGAR JAM BOWL,1372,1358.3999999999999,179,50,NO
DAIRY MAID TOASTRACK,106,305.50000000000006,453,50,NO
DAIRY MAID TRADITIONAL TEAPOT ,659,3756.25,80,50,NO
DAISIES  HONEYCOMB GARLAND ,1059,1646.55,141,50,NO
DAISY ERASERS IN BAG,1014,219.34,70,50,NO
DAISY FOLKART HEART DECORATION,293,366.25,422,50,NO
DAISY GARDEN MARKER,757,944.35,296,50,NO
DAISY HAIR BAND,21,34.65,24,50,YES
DAISY HAIR COMB,8,20.4,485,50,NO
DAISY JOURNAL ,341,545.5500000000001,111,50,NO
DAISY NOTEBOOK ,3447,647.55,189,50,NO
DAISY RING,11,13.75,336,50,NO
DAISY SKETCHBOOK ,175,420.65,41,50,YES
DANISH ROSE BEDSIDE CABINET,18,679.1,424,50,NO
DANISH ROSE DECORATIVE PLATE,100,210.0,345,50,NO
DANISH ROSE DELUXE COASTER,371,315.34999999999997,20,50,YES
DANISH ROSE FOLDING CHAIR,8,319.6,152,50,NO
DANISH ROSE PHOTO FRAME,269,664.35,252,50,NO
DANISH ROSE ROUND SEWING BOX,101,429.25,31,50,YES
DANISH ROSE TRINKET TRAYS,58,345.1,365,50,NO
DANISH ROSE UMBRELLA STAND,31,481.65,65,50,NO
DARK BIRD HOUSE TREE DECORATION,182,134.06,53,50,NO
DARK CHOCOLATE SCENTCANDLE,291,219.75,452,50,NO
DARK PINK FLOCK GLASS CANDLEHOLDER,547,231.99,97,50,NO
DECORATION  BUTTERFLY  MAGIC GARDEN,571,460.39,237,50,NO
DECORATION  PINK CHICK MAGIC GARDEN,391,328.19,320,50,NO
"DECORATION , HANGING METAL CHICKEN",601,586.25,430,50,NO
"DECORATION , HANGING METAL RABBIT",813,851.25,92,50,NO
"DECORATION , WOBBLY CHICKEN, METAL ",536,687.0,301,50,NO
"DECORATION , WOBBLY RABBIT , METAL ",794,1112.7,268,50,NO
"DECORATION HEN ON NEST, HANGING",1810,2673.9,66,50,NO
DECORATION WHITE CHICK MAGIC GARDEN,662,550.22,140,50,NO
"DECORATION, HANGING HEART+MIRROR ",2608,1688.0,233,50,NO
DECORATIVE CATS BATHROOM BOTTLE,438,526.98,258,50,NO
DECORATIVE FLORE BATHROOM BOTTLE,228,285.0,75,50,NO
DECORATIVE HANGING SHELVING UNIT,8,439.6,369,50,NO
DECORATIVE NET CANOPY CREAM,68,541.6,126,50,NO
DECORATIVE NET CANOPY LEOPARD,73,248.75,338,50,NO
DECORATIVE PLANT POT WITH FRIEZE,29,230.55,67,50,NO
DECORATIVE ROSE BATHROOM BOTTLE,356,440.44,80,50,NO
"DECOUPAGE,GREETING CARD,",1068,443.52,356,50,NO
DEEP BLUE GLASS GEMS IN BAG,316,208.12,45,50,YES
DELUXE SEWING KIT ,1086,6185.700000000001,311,50,NO
DENIM PATCH PENCIL CASE BUTTERFLY,247,483.33,276,50,NO
DENIM PATCH PURSE PINK BUTTERFLY,195,321.75,27,50,YES
DIAMANTE BOW BROOCH BLACK COLOUR,81,514.35,132,50,NO
DIAMANTE BOW BROOCH GREEN COLOUR,26,165.1,374,50,NO
DIAMANTE BOW BROOCH RED COLOUR,38,241.3,272,50,NO
DIAMANTE BOW BROOCH WHITE COLOUR,1,6.35,199,50,NO
DIAMANTE HAIR GRIP PACK/2 BLACK DIA,8,13.2,226,50,NO
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,12,19.8,322,50,NO
DIAMANTE HAIR GRIP PACK/2 LT ROSE,12,19.8,146,50,NO
DIAMANTE HAIR GRIP PACK/2 MONTANA,17,28.05,75,50,NO
DIAMANTE HAIR GRIP PACK/2 PERIDOT,20,33.0,233,50,NO
DIAMANTE HAIR GRIP PACK/2 RUBY,14,23.099999999999998,33,50,YES
"DIAMANTE HEART SHAPED WALL MIRROR, ",516,3529.76,493,50,NO
DIAMANTE NECKLACE,6,45.0,47,50,YES
DIAMANTE NECKLACE BLACK ,1,7.5,490,50,NO
DIAMANTE NECKLACE PURPLE,3,22.5,97,50,NO
DIAMANTE RING ASSORTED IN BOX.,792,1349.52,235,50,NO
DIAMOND LAS VEGAS NECKLACE 45CM,4,23.8,405,50,NO
DINOSAUR BIRTHDAY CARD,1618,668.76,384,50,NO
DINOSAUR HEIGHT CHART STICKER SET,381,966.7500000000001,173,50,NO
DINOSAUR KEYRINGS ASSORTED,7910,1644.8999999999999,33,50,YES
DINOSAUR LUNCH BOX WITH CUTLERY,1100,2643.0,206,50,NO
DINOSAUR LUNCHBOX WITH CUTLERY,544,1327.8,331,50,NO
DINOSAUR PARTY BAG + STICKER SET,1528,2385.2,390,50,NO
DINOSAURS  WRITING SET ,1051,1697.19,26,50,YES
DINOSAURS WATER TRANSFER TATTOOS ,1782,1469.8999999999999,22,50,YES
DISCO BALL CHRISTMAS DECORATION,8710,982.6,130,50,NO
DISCO BALL ROTATOR BATTERY OPERATED,310,1316.5,426,50,NO
DISTRESSED CANDLE STICK WHITE,13,77.35,257,50,NO
DO NOT TOUCH MY STUFF DOOR HANGER ,1577,997.85,382,50,NO
DOCTOR'S BAG SOFT TOY,364,3157.7999999999997,258,50,NO
"DOG BOWL , CHASING BALL DESIGN",695,2537.13,293,50,NO
DOG BOWL CHASING BALL DESIGN,362,1343.94,313,50,NO
DOG BOWL VINTAGE CREAM,90,370.5,246,50,NO
"DOG BOWL, ENAMEL , CREAM COLOUR",8,34.0,390,50,NO
"DOG FOOD CONTAINER , VINTAGE",10,85.0,34,50,YES
DOG TOY WITH PINK CROCHET SKIRT,279,1041.93,211,50,NO
DOGGY RUBBER,471,98.91,492,50,NO
DOLLY GIRL CHILDRENS EGG CUP,105,131.25,138,50,NO
DOLLY GIRL LUNCH BOX,6271,11282.85,47,50,YES
DOLLY HONEYCOMB GARLAND,367,574.35,221,50,NO
DOLLY MIXTURE CHILDREN'S UMBRELLA,316,1018.0,58,50,NO
DOLPHIN WINDMILL,61,129.32,460,50,NO
DOOR HANGER  MUM + DADS ROOM,821,921.65,292,50,NO
DOOR MAT 3 SMILEY CATS,1773,9861.69,250,50,NO
DOOR MAT AIRMAIL ,427,2988.53,105,50,NO
DOOR MAT BIRD ON THE WIRE,562,3337.8,493,50,NO
DOOR MAT BLACK FLOCK ,1220,6922.9,145,50,NO
DOOR MAT BLUE FLOCK,1,6.75,319,50,NO
DOOR MAT CAMOUFLAGE,38,152.0,44,50,YES
DOOR MAT ENGLISH ROSE ,1445,9343.43,164,50,NO
DOOR MAT FAIRY CAKE,1640,10347.72,32,50,YES
DOOR MAT FANCY FONT HOME SWEET HOME,1117,7415.39,231,50,NO
DOOR MAT FRIENDSHIP ,431,2934.31,44,50,YES
DOOR MAT GREEN PAISLEY ,253,1409.11,87,50,NO
DOOR MAT HEARTS,1654,9715.06,413,50,NO
DOOR MAT KISS MY.......,13,95.15,86,50,NO
DOOR MAT MULTICOLOUR STRIPE,1037,6270.6900000000005,252,50,NO
DOOR MAT NEIGHBOURHOOD WITCH ,79,565.89,128,50,NO
DOOR MAT NEW ENGLAND,1953,12520.95,165,50,NO
DOOR MAT RED SPOT,2426,15093.48,130,50,NO
DOOR MAT RESPECTABLE HOUSE,358,2479.86,247,50,NO
DOOR MAT SPOTTY HOME SWEET HOME,1733,10121.69,130,50,NO
DOOR MAT SWEET HOME,28,131.25,489,50,NO
DOOR MAT TOPIARY,1020,6407.06,53,50,NO
DOOR MAT UNION FLAG,3733,24216.23,130,50,NO
DOOR MAT UNION JACK GUNS AND ROSES,725,4547.29,283,50,NO
DOOR MAT WELCOME PUPPIES,1414,7835.1,443,50,NO
DOORMAT 3 SMILEY CATS,1221,7116.2300000000005,388,50,NO
DOORMAT AIRMAIL ,1238,7181.86,255,50,NO
DOORMAT BIRD ON THE WIRE,223,1100.15,102,50,NO
DOORMAT BLACK FLOCK ,1050,5975.56,61,50,NO
DOORMAT CHRISTMAS VILLAGE,269,1975.23,444,50,NO
DOORMAT ENGLISH ROSE ,1228,7149.6,120,50,NO
DOORMAT FAIRY CAKE,1356,8128.0199999999995,25,50,YES
DOORMAT FANCY FONT HOME SWEET HOME,1839,11273.83,199,50,NO
DOORMAT FRIENDSHIP ,795,4099.43,301,50,NO
DOORMAT HEARTS,2622,15859.64,339,50,NO
DOORMAT HOME SWEET HOME BLUE ,907,5781.13,245,50,NO
DOORMAT I LOVE LONDON,510,3027.04,462,50,NO
DOORMAT KISS MY.......,22,106.58,459,50,NO
DOORMAT MERRY CHRISTMAS RED ,392,2847.1,334,50,NO
DOORMAT MULTICOLOUR STRIPE,859,4527.75,384,50,NO
DOORMAT NEIGHBOURHOOD WITCH ,793,4087.4900000000002,473,50,NO
DOORMAT NEW ENGLAND,1524,9221.74,248,50,NO
DOORMAT PEACE ON EARTH BLUE,190,1423.22,396,50,NO
DOORMAT RED RETROSPOT,1084,7734.6,308,50,NO
DOORMAT RED SPOT,1035,7050.21,456,50,NO
DOORMAT RESPECTABLE HOUSE,1157,6588.35,169,50,NO
DOORMAT SPOTTY HOME SWEET HOME,1077,7601.03,296,50,NO
DOORMAT TOPIARY,1184,6816.44,217,50,NO
DOORMAT UNION FLAG,2609,17007.33,89,50,NO
DOORMAT UNION JACK GUNS AND ROSES,938,5237.98,131,50,NO
DOORMAT WELCOME PUPPIES,1333,7749.67,23,50,YES
DOORMAT WELCOME SUNRISE,376,2349.52,369,50,NO
DOORMAT WELCOME TO OUR HOME,559,3652.23,350,50,NO
DOORSTOP FOOTBALL DESIGN,426,1285.98,465,50,NO
DOORSTOP RACING CAR DESIGN,258,655.98,337,50,NO
DOORSTOP RETROSPOT HEART,1220,4499.04,369,50,NO
DOORSTOP RUSSIAN DOLL GINGHAM,38,142.5,114,50,NO
DOORSTOP RUSSIAN DOLL RETROSPOT,100,363.48,171,50,NO
DOT MATRIX CANVAS ART PICTURE,35,147.05,330,50,NO
DOTS IRONING BOARD COVER,12,23.4,156,50,NO
DOTTY PLACEMATS ,52,175.8,266,50,NO
DOVE DECORATION PAINTED ZINC ,2212,1380.2,406,50,NO
DRAGONS BLOOD INCENSE,550,105.5,262,50,NO
DRAWER KNOB ACRYLIC EDWARDIAN CLEAR,24,30.0,50,50,NO
DRAWER KNOB ACRYLIC EDWARDIAN GREEN,24,30.0,59,50,NO
DRAWER KNOB ACRYLIC EDWARDIAN PINK,24,30.0,248,50,NO
DRAWERKNOB ACRYLIC EDWARDIAN PURPLE,24,30.0,55,50,NO
DROP DIAMANTE EARRINGS BLACK DIAMON,8,23.6,427,50,NO
DROP DIAMANTE EARRINGS CRYSTAL,4,11.8,242,50,NO
DROP DIAMANTE EARRINGS GREEN,2,5.9,25,50,YES
DROP DIAMANTE EARRINGS PURPLE,14,41.300000000000004,341,50,NO
DROP EARRINGS W FLOWER & LEAF,1,2.55,487,50,NO
DUCK SOCK PUPPET,4,11.8,239,50,NO
DUSTY PINK CHRISTMAS TREE 30CM,10,12.5,94,50,NO
DUSTY PINK CHRISTMAS TREE 60CM,1,2.95,23,50,YES
Discount,196,397.89,354,50,NO
EASTER BUNNIES ON A STICK,1536,783.96,153,50,NO
EASTER BUNNY GARLAND OF FLOWERS,825,346.5,137,50,NO
EASTER BUNNY HANGING GARLAND,100,125.0,388,50,NO
EASTER BUNNY WITH BASKET ON BACK,99,64.35000000000001,113,50,NO
EASTER BUNNY WREATH,48,223.6,454,50,NO
EASTER CRAFT 4 CHICKS ,1181,2074.95,81,50,NO
EASTER CRAFT IVY WREATH WITH CHICK,1342,2340.9,460,50,NO
EASTER DECORATION EGG BUNNY ,629,600.73,213,50,NO
EASTER DECORATION HANGING BUNNY,616,395.6,354,50,NO
EASTER DECORATION NATURAL CHICK,1273,799.45,222,50,NO
EASTER DECORATION SITTING BUNNY,509,410.81,411,50,NO
EASTER TIN BUCKET,1000,2424.0,45,50,YES
EASTER TIN BUNNY BOUQUET,52,85.80000000000001,454,50,NO
EASTER TIN CHICKS PINK DAISY,22,36.3,192,50,NO
EASTER TIN KEEPSAKE,8,13.2,319,50,NO
EASTER TREE YELLOW BIRDS,315,1549.65,152,50,NO
EAU DE NIL DINER WALL CLOCK,244,2033.2,345,50,NO
EAU DE NIL LOVE BIRD CANDLE,61,76.25,429,50,NO
EAU DE NILE HEART SHAPE PHOTO FRAME,222,366.3,137,50,NO
EAU DE NILE JEWELLED PHOTOFRAME,213,488.25,343,50,NO
EAU DE NILE JEWELLED T-LIGHT HOLDER,96,81.6,294,50,NO
ECONOMY HOLIDAY PURSE,867,328.85,231,50,NO
ECONOMY LUGGAGE TAG,194,242.5,244,50,NO
ECONOMY PASSPORT COVER ,199,417.90000000000003,39,50,YES
EDWARDIAN 2 DRAWER WALL CABINET ,52,755.8,132,50,NO
EDWARDIAN PARASOL BLACK,6663,31183.850000000002,159,50,NO
EDWARDIAN PARASOL NATURAL,7201,34044.75,66,50,NO
EDWARDIAN PARASOL PINK,1722,7881.1,20,50,YES
EDWARDIAN PARASOL RED,4501,20066.95,109,50,NO
EDWARDIAN TOILET ROLL UNIT ,161,838.35,161,50,NO
EGG CUP NATURAL CHICKEN,560,674.16,339,50,NO
EIGHT PIECE CREEPY CRAWLIE SET,809,1006.69,57,50,NO
EIGHT PIECE DINOSAUR SET,1606,1966.46,312,50,NO
EIGHT PIECE SNAKE  SET,751,897.71,401,50,NO
ELEPHANT CARNIVAL POUFFE,95,1314.6499999999999,158,50,NO
ELEPHANT CLIP W SUCTION CUP,18,7.56,375,50,NO
ELEPHANT TOY WITH BLUE T-SHIRT,160,595.68,352,50,NO
"ELEPHANT, BIRTHDAY CARD, ",4860,1956.24,278,50,NO
ELVIS WALLHANGING / CURTAIN,249,311.25,180,50,NO
EMBOSSED FLOWER TRELLIS PHOTO FRAME,5,12.75,409,50,NO
EMBOSSED GLASS TEALIGHT HOLDER,1933,2359.25,197,50,NO
EMBOSSED HEART 3 DRAWER SHELF,159,2012.85,29,50,YES
EMBROIDERED REINDEER DECORATION,18,28.0,280,50,NO
EMERGENCY FIRST AID TIN ,1700,2106.76,426,50,NO
EMPIRE BIRTHDAY CARD,3729,1483.38,157,50,NO
EMPIRE DESIGN ROSETTE,282,352.5,191,50,NO
EMPIRE GIFT WRAP,4875,1977.5,405,50,NO
EMPIRE TEDDY,1,6.95,32,50,YES
EMPIRE TISSUE BOX,1108,1240.64,187,50,NO
EMPIRE UNION JACK TV DINNER TRAY,422,1988.1000000000001,149,50,NO
ENAMEL BLUE RIM BISCUIT BIN,184,877.2,103,50,NO
ENAMEL BLUE RIM COFFEE CONTAINER,161,293.1,340,50,NO
ENAMEL BLUE RIM OVAL TRAY SET/2,48,407.52,338,50,NO
ENAMEL BLUE RIM TEA CONTAINER,73,153.3,120,50,NO
ENAMEL BREAD BIN CREAM,614,7432.5,348,50,NO
ENAMEL CAT BOWL CREAM,52,157.8,292,50,NO
ENAMEL COLANDER CREAM,266,1305.5,284,50,NO
ENAMEL COLLANDER CREAM,115,527.25,478,50,NO
ENAMEL DOG BOWL CREAM,76,300.48,418,50,NO
ENAMEL FIRE BUCKET CREAM,218,1507.3,427,50,NO
ENAMEL FLOWER JUG CREAM,1072,6192.900000000001,57,50,NO
ENAMEL MEASURING JUG CREAM,1002,4108.5,438,50,NO
ENAMEL PINK COFFEE CONTAINER,515,736.98,113,50,NO
ENAMEL PINK SUGAR CONTAINER,391,581.58,114,50,NO
ENAMEL PINK TEA CONTAINER,649,923.7,324,50,NO
ENAMEL WASH BOWL CREAM,535,1890.25,88,50,NO
ENAMEL WATERING CAN CREAM,757,3334.19,337,50,NO
ENCHANTED BIRD COATHANGER 5 HOOK,1453,5976.6900000000005,463,50,NO
ENCHANTED BIRD PLANT CAGE,252,868.2,255,50,NO
ENCHANTED GARDEN WROUGHT IRON TABLE,5,74.75,453,50,NO
ENGLISH ROSE DESIGN PEG BAG,2262,4478.78,353,50,NO
ENGLISH ROSE DESIGN QUILTED THROW,306,4391.1,392,50,NO
ENGLISH ROSE DESIGN SHOPPING BAG,1,2.55,395,50,NO
ENGLISH ROSE EDWARDIAN PARASOL,505,1515.0,478,50,NO
ENGLISH ROSE GARDEN SECATEURS,639,974.85,156,50,NO
ENGLISH ROSE HOT WATER BOTTLE,707,2876.0,437,50,NO
ENGLISH ROSE IRONING BOARD COVER,104,390.0,95,50,NO
ENGLISH ROSE METAL WASTE BIN,116,342.20000000000005,54,50,NO
ENGLISH ROSE MUG IN GIFT BOX,143,232.89,20,50,YES
ENGLISH ROSE NOTEBOOK A6 SIZE,177,115.05,315,50,NO
ENGLISH ROSE NOTEBOOK A7 SIZE,1841,773.22,339,50,NO
ENGLISH ROSE PHOTO FRAME ,14,65.10000000000001,425,50,NO
ENGLISH ROSE PLACEMATS,107,382.05,79,50,NO
ENGLISH ROSE SCENTED HANGING FLOWER,21,89.25,339,50,NO
ENGLISH ROSE SCENTED HANGING HEART,45,191.25,368,50,NO
ENGLISH ROSE SCISSORS,4372,871.4,347,50,NO
ENGLISH ROSE SET/3 GARDEN TOOLS,3,23.85,286,50,NO
ENGLISH ROSE SMALL SCENTED FLOWER,96,81.6,380,50,NO
ENGLISH ROSE SPIRIT LEVEL ,44,85.8,248,50,NO
ENGLISH ROSE TABLE CLOCK,136,307.2,289,50,NO
ENGLISH ROSE TABLE CLOTH,207,2096.55,335,50,NO
ENGLISH ROSE TAPE MEASURE,256,315.44,305,50,NO
ENGLISH ROSE TEA FOR ONE GIFT BOX,1,6.75,310,50,NO
ENGLISH ROSE TEA SET IN GIFT BOX,49,207.69,232,50,NO
ENGLISH ROSE TORCH,526,193.1,184,50,NO
ENVELOPE 50 BLOSSOM IMAGES,912,589.4399999999999,24,50,YES
ENVELOPE 50 CURIOUS IMAGES,887,568.1899999999999,358,50,NO
ENVELOPE 50 ROMANTIC IMAGES,918,594.54,398,50,NO
ESSENTIAL BALM 3.5g TIN IN ENVELOPE,5504,637.92,97,50,NO
ETCHED GLASS BIRD TREE DECORATION,806,1007.5,429,50,NO
ETCHED GLASS COASTER,690,862.5,81,50,NO
ETCHED GLASS DROPLET DECORATION,1905,851.23,151,50,NO
ETCHED GLASS STAR TREE DECORATION,885,1106.25,108,50,NO
EUCALYPTUS & PINECONE  WREATH,445,1208.55,256,50,NO
F FAIRY POTPOURRI CUSHIONS LAVENDER,170,137.54,61,50,NO
F FAIRY POTPOURRI CUSHIONS SUMMER,1,1.69,108,50,NO
F.FAIRY S/3 CANDLE/GLASS,110,226.5,421,50,NO
"F.FAIRY S/3 CANDLE/GLASS, ROSE",232,476.4,315,50,NO
"F.FAIRY S/3 CANDLE/GLASS,LAVENDER",193,380.35,347,50,NO
"F.FAIRY S/3 CANDLE/GLASS,LILY/VALLY",177,349.15000000000003,314,50,NO
"F.FAIRY S/3 SML CANDLE, LAVENDER",1,5.95,123,50,NO
"F.FAIRY S/3 SML CANDLE, ROSE",1,5.95,33,50,YES
"F.FAIRY S/3 SML CANDLE,LILY/VALLEY",1,5.95,307,50,NO
"F.FAIRY,CANDLE IN GLASS,LAVENDER",3,12.75,198,50,NO
"F.FAIRY,CANDLE IN GLASS,LILY/VALLEY",1,4.25,144,50,NO
FAIRY CAKE BIRTHDAY CANDLE SET,1092,3864.6,441,50,NO
FAIRY CAKE CANDLES,3841,5230.61,372,50,NO
FAIRY CAKE CERAMIC BUTTER DISH,192,523.2,42,50,YES
FAIRY CAKE DESIGN UMBRELLA,744,2722.8,82,50,NO
FAIRY CAKE FLANNEL ASSORTED COLOUR,2534,6214.65,162,50,NO
FAIRY CAKE GREETINGS CARD,809,335.46,172,50,NO
FAIRY CAKE NOTEBOOK A5 SIZE,720,612.0,164,50,NO
FAIRY CAKE PLACEMATS,100,355.8,244,50,NO
FAIRY CAKE PLACEMATS ,75,262.05,469,50,NO
FAIRY CAKE WICKER PICNIC BASKET ,33,420.75,481,50,NO
FAIRY CAKES  WALL THERMOMETER,28,71.39999999999999,328,50,NO
FAIRY CAKES GIFT BAG,117,49.14,123,50,NO
FAIRY CAKES NOTEBOOK A6 SIZE,1315,821.63,123,50,NO
FAIRY CAKES NOTEBOOK A7 SIZE,1198,503.15999999999997,454,50,NO
FAIRY CAKES PHOTO FRAME,83,103.75,58,50,NO
FAIRY CAKES RECTANGLUAR BOXES,38,226.1,454,50,NO
FAIRY CAKES ROUND NESTING BOXES,52,293.8,217,50,NO
FAIRY CAKES TABLE CLOCK,19,170.04999999999998,153,50,NO
FAIRY CAKES TILE COASTER,125,156.25,86,50,NO
FAIRY DESIGN MUGS,1,1.25,410,50,NO
FAIRY DREAMS INCENSE ,1391,278.36,198,50,NO
FAIRY SOAP SOAP HOLDER,1620,2596.68,475,50,NO
FAIRY TALE COTTAGE NIGHTLIGHT,2721,4852.349999999999,61,50,NO
FAMILY ALBUM WHITE PICTURE FRAME,1063,8607.1,467,50,NO
FAMILY PHOTO FRAME CORNICE,312,3011.6,34,50,YES
FAN BLACK FRAME ,111,32.19,130,50,NO
"FANCY FONT BIRTHDAY CARD, ",6038,2415.7200000000003,176,50,NO
FANCY FONT HOME SWEET HOME DOORMAT,622,3822.5,308,50,NO
FANCY FONTS BIRTHDAY WRAP,8975,3579.5,497,50,NO
FANNY'S REST STOPMETAL SIGN,1917,3870.7200000000003,250,50,NO
FAUX FUR CHOCOLATE THROW,24,478.79999999999995,430,50,NO
FAWN AND MUSHROOM GREETING CARD,992,416.64,439,50,NO
FAWN BLUE HOT WATER BOTTLE,4893,13398.35,176,50,NO
"FEATHER DUSTER, COAL BLACK",170,212.5,57,50,NO
"FEATHER DUSTER, LIGHT PINK",10,12.5,460,50,NO
FEATHER HEART LIGHTS,1,2.95,116,50,NO
"FEATHER PEN,COAL BLACK",1465,1201.57,430,50,NO
"FEATHER PEN,HOT PINK",2499,2049.27,458,50,NO
"FEATHER PEN,LIGHT PINK",1326,1083.4199999999998,308,50,NO
FELT EGG COSY BLUE RABBIT ,782,625.6999999999999,273,50,NO
FELT EGG COSY CHICKEN,819,696.15,215,50,NO
FELT EGG COSY LADYBIRD ,467,359.51,105,50,NO
FELT EGG COSY WHITE RABBIT ,1240,971.06,341,50,NO
FELT FARM ANIMAL CHICKEN,592,708.08,29,50,YES
FELT FARM ANIMAL HEN,94,117.5,24,50,YES
FELT FARM ANIMAL RABBIT,391,456.83,142,50,NO
FELT FARM ANIMAL SHEEP,39,48.75,349,50,NO
FELT FARM ANIMAL WHITE BUNNY ,424,358.84,372,50,NO
FELT TOADSTOOL  SMALL,485,412.25,137,50,NO
FELT TOADSTOOL LARGE,712,890.0,313,50,NO
FELTCRAFT 6 FLOWER FRIENDS,6457,13035.2,416,50,NO
FELTCRAFT BUTTERFLY HEARTS,6761,9313.85,178,50,NO
FELTCRAFT CHRISTMAS FAIRY,1546,6402.5,322,50,NO
FELTCRAFT CUSHION BUTTERFLY,2848,9901.2,247,50,NO
FELTCRAFT CUSHION OWL,2225,8057.91,384,50,NO
FELTCRAFT CUSHION RABBIT,2563,9182.85,235,50,NO
FELTCRAFT DOLL EMILY,2418,6624.960000000001,455,50,NO
FELTCRAFT DOLL MARIA,1172,3199.6600000000003,203,50,NO
FELTCRAFT DOLL MOLLY,2774,7687.9400000000005,34,50,YES
FELTCRAFT DOLL ROSIE,3168,8735.54,176,50,NO
FELTCRAFT HAIRBAND PINK AND BLUE,1209,1008.93,155,50,NO
FELTCRAFT HAIRBAND PINK AND PURPLE,1877,1497.1699999999998,280,50,NO
FELTCRAFT HAIRBAND RED AND BLUE,1010,839.78,176,50,NO
"FELTCRAFT HAIRBAND S/2, PINK/PURPLE",96,81.6,66,50,NO
"FELTCRAFT HAIRBAND, S/2, RED/BLUE",204,154.68,343,50,NO
FELTCRAFT HAIRBANDS PINK + WHITE ,72,61.199999999999996,351,50,NO
FELTCRAFT HAIRBANDS PINK AND WHITE ,1045,869.53,192,50,NO
FELTCRAFT PRINCESS CHARLOTTE DOLL,1285,4715.07,149,50,NO
FELTCRAFT PRINCESS LOLA DOLL,1178,4313.82,430,50,NO
FELTCRAFT PRINCESS OLIVIA DOLL,741,2744.19,114,50,NO
FENG SHUI PILLAR CANDLE,3061,581.5899999999999,134,50,NO
FILIGREE DIAMANTE CHAIN,4,51.0,262,50,NO
FILIGREE DIAMANTE EARRINGS,13,55.25,439,50,NO
FILIGREE WALL MIRROR  ANTIQUE WHITE,92,848.8,311,50,NO
FILIGRIS HEART WITH BUTTERFLY,6874,8346.26,301,50,NO
FINE SILVER NECKLACE W PASTEL FLOWE,22,165.0,318,50,NO
FINE WICKER HEART ,2300,2792.92,302,50,NO
FIRE POLISHED GLASS BRACELET BLACK,13,48.75,88,50,NO
FIRE POLISHED GLASS BRACELET GREEN,8,30.0,167,50,NO
FIRE POLISHED GLASS BRACELET MONTAN,7,26.25,30,50,YES
FIRE POLISHED GLASS BRACELET RED,1,3.75,273,50,NO
FIRE POLISHED GLASS NECKL BRONZE,9,53.55,349,50,NO
FIRE POLISHED GLASS NECKL GOLD,5,29.75,379,50,NO
FIRE POLISHED GLASS NECKL GREEN,17,101.15,57,50,NO
FIRE POLISHED GLASS NECKL SILVER,7,41.65,153,50,NO
FIRST AID TIN,2306,7356.5,219,50,NO
FIRST CLASS HOLIDAY PURSE ,686,353.30000000000007,42,50,YES
FIRST CLASS LUGGAGE TAG ,234,287.94,322,50,NO
FIRST CLASS PASSPORT COVER ,386,726.14,365,50,NO
FIVE CATS HANGING DECORATION,279,820.6500000000001,321,50,NO
FIVE HEART HANGING DECORATION,1099,3220.4500000000003,382,50,NO
FLAG OF ST GEORGE ,358,590.7,415,50,NO
FLAG OF ST GEORGE CAR FLAG,953,379.26,237,50,NO
FLAG OF ST GEORGE CHAIR,36,173.4,160,50,NO
FLAMES SUNGLASSES PINK LENSES,24,46.8,123,50,NO
FLAMINGO LIGHTS,527,2416.85,465,50,NO
FLAT GLASS  BAUBLE WHITE FLOCK ,36,51.0,229,50,NO
FLAT PALM T-LIGHT HOLDER,133,156.65,492,50,NO
FLOOR CUSHION ELEPHANT CARNIVAL,53,474.34999999999997,130,50,NO
FLOOR LAMP SHADE WOOD BASE,82,631.84,123,50,NO
FLORAL BATHROOM SET,2295,968.01,335,50,NO
FLORAL BLUE MONSTER,78,315.0,190,50,NO
FLORAL DINOSAUR GREEN,26,110.5,479,50,NO
FLORAL ELEPHANT SOFT TOY,879,3434.25,375,50,NO
FLORAL FOLK STATIONERY SET,698,1264.7,343,50,NO
FLORAL PINK MONSTER,76,273.48,152,50,NO
FLORAL SOFT CAR TOY,91,341.25,395,50,NO
FLOWER BLUE CLOCK W/SUCKER,80,68.0,312,50,NO
FLOWER BROOCH 4 ASSORTED COLOURS,5,24.75,347,50,NO
FLOWER BURST SILVER RING CRYSTAL,86,297.5,146,50,NO
FLOWER BURST SILVER RING GREEN,15,56.25,125,50,NO
FLOWER BURST SILVER RING MIDN'T BLU,25,93.75,111,50,NO
FLOWER BURST SILVER RING OPAL,36,135.0,306,50,NO
FLOWER BURST SILVER RING ROSE,18,67.5,397,50,NO
FLOWER DES BLUE HANDBAG/ORANG HANDL,3,11.25,412,50,NO
FLOWER FAIRY INCENSE BOUQUET,1194,555.9,70,50,NO
FLOWER FAIRY INCENSE LAVENDER,4541,892.91,48,50,YES
FLOWER FAIRY INCENSE LILY,709,333.61,481,50,NO
FLOWER FAIRY INCENSE ROSE,3124,661.23,315,50,NO
